X,Y,Z
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.14429738,0.084182391
0.143001091,3.144297096,0.084174242
0.143001091,3.144296244,0.084149809
0.143001091,3.144294826,0.084109117
0.143001091,3.144292841,0.084052188
0.143001091,3.144290288,0.083979046
0.143001091,3.144287168,0.083889715
0.143001091,3.144283479,0.083784218
0.143001091,3.144279221,0.083662577
0.143001091,3.144274391,0.083524816
0.143001091,3.144268989,0.083370957
0.143001091,3.144263013,0.083201025
0.143001091,3.144256459,0.083015041
0.143001091,3.144249326,0.082813028
0.143001091,3.14424161,0.082595009
0.143001091,3.14423331,0.082361006
0.143001091,3.14422442,0.082111043
0.143001091,3.144214938,0.081845141
0.143001091,3.144204859,0.081563324
0.143001091,3.14419418,0.081265612
0.143001091,3.144182896,0.08095203
0.143001091,3.144171002,0.080622598
0.143001091,3.144158493,0.080277339
0.143001091,3.144145363,0.079916275
0.143001091,3.144131608,0.079539427
0.143001091,3.144117221,0.079146819
0.143001091,3.144102196,0.078738471
0.143001091,3.144086526,0.078314406
0.143001091,3.144070206,0.077874645
0.143001091,3.144053227,0.077419211
0.143001091,3.144035584,0.076948123
0.143001091,3.144017268,0.076461405
0.143001091,3.143998272,0.075959077
0.143001091,3.143978587,0.075441161
0.143001091,3.143958206,0.074907678
0.143001091,3.14393712,0.07435865
0.143001091,3.14391532,0.073794097
0.143001091,3.143892797,0.073214042
0.143001091,3.143869542,0.072618504
0.143001091,3.143845545,0.072007506
0.143001091,3.143820797,0.071381068
0.143001091,3.143795288,0.070739211
0.143001091,3.143769007,0.070081955
0.143001091,3.143741943,0.069409323
0.143001091,3.143714087,0.068721334
0.143001091,3.143685427,0.068018009
0.143001091,3.143655951,0.067299369
0.143001091,3.143625648,0.066565435
0.143001091,3.143594507,0.065816227
0.143001091,3.143562516,0.065051766
0.143001091,3.143529661,0.064272072
0.143001091,3.143495931,0.063477165
0.143001091,3.143461313,0.062667066
0.143001091,3.143425794,0.061841796
0.143001091,3.143389361,0.061001373
0.143001091,3.143352,0.06014582
0.143001091,3.143313698,0.059275156
0.143001091,3.143274441,0.058389401
0.143001091,3.143234214,0.057488575
0.143001091,3.143193004,0.056572698
0.143001091,3.143150795,0.055641791
0.143001091,3.143107573,0.054695872
0.143001091,3.143063322,0.053734963
0.143001091,3.143018028,0.052759084
0.143001091,3.142971675,0.051768253
0.143001091,3.142924247,0.050762491
0.143001091,3.142875729,0.049741818
0.143001091,3.142826103,0.048706253
0.143001091,3.142775354,0.047655816
0.143001091,3.142723464,0.046590527
0.143001091,3.142670418,0.045510405
0.143001091,3.142616198,0.044415471
0.143001091,3.142560786,0.043305743
0.143001091,3.142504165,0.042181242
0.143001091,3.142446317,0.041041986
0.143001091,3.142387225,0.039887996
0.143001091,3.14232687,0.038719291
0.143001091,3.142265234,0.037535889
0.143001091,3.142202298,0.036337812
0.143001091,3.142138043,0.035125078
0.143001091,3.142072451,0.033897706
0.143001091,3.142005501,0.032655716
0.143001091,3.141937175,0.031399128
0.143001091,3.141867453,0.03012796
0.143001091,3.141796314,0.028842232
0.143001091,3.14172374,0.027541963
0.143001091,3.141649709,0.026227173
0.143001091,3.141574201,0.02489788
0.143001091,3.141497195,0.023554105
0.143001091,3.141418671,0.022195866
0.143001091,3.141338607,0.020823182
0.143001091,3.141256981,0.019436073
0.143001091,3.141173774,0.018034557
0.143001091,3.141088961,0.016618655
0.143001091,3.141002523,0.015188385
0.143001091,3.140914436,0.013743766
0.143001091,3.140824678,0.012284818
0.143001091,3.140733227,0.01081156
0.143001091,3.14064006,0.009324011
0.143001091,3.140545154,0.007822189
0.143001091,3.140448485,0.006306115
0.143001091,3.140350031,0.004775807
0.143001091,3.140249769,0.003231285
0.143001091,3.140147673,0.001672567
0.143001091,3.140043721,9.97E-05
0.143001091,3.139937888,-0.001487378
0.143001091,3.13983015,-0.003088567
0.143001091,3.139720483,-0.004703874
0.143001091,3.139608862,-0.006333281
0.143001091,3.139495261,-0.007976769
0.143001091,3.139379657,-0.009634318
0.143001091,3.139262023,-0.011305909
0.143001091,3.139142335,-0.012991522
0.143001091,3.139020566,-0.01469114
0.143001091,3.138896692,-0.016404741
0.143001091,3.138770685,-0.018132308
0.143001091,3.13864252,-0.019873821
0.143001091,3.138512171,-0.02162926
0.143001091,3.13837961,-0.023398607
0.143001091,3.138244812,-0.025181841
0.143001091,3.138107749,-0.026978945
0.143001091,3.137968395,-0.028789897
0.143001091,3.137826721,-0.03061468
0.143001091,3.137682701,-0.032453273
0.143001091,3.137536308,-0.034305658
0.143001091,3.137387512,-0.036171814
0.143001091,3.137236288,-0.038051722
0.143001091,3.137082605,-0.039945364
0.143001091,3.136926436,-0.041852718
0.143001091,3.136767753,-0.043773767
0.143001091,3.136606527,-0.045708489
0.143001091,3.136442729,-0.047656866
0.143001091,3.136276331,-0.049618878
0.143001091,3.136107302,-0.051594505
0.143001091,3.135935614,-0.053583728
0.143001091,3.135761237,-0.055586527
0.143001091,3.135584142,-0.057602881
0.143001091,3.135404299,-0.059632772
0.143001091,3.135221677,-0.061676179
0.143001091,3.135036248,-0.063733082
0.143001091,3.13484798,-0.065803463
0.143001091,3.134656842,-0.067887299
0.143001091,3.134462805,-0.069984572
0.143001091,3.134265838,-0.072095261
0.143001091,3.134065909,-0.074219347
0.143001091,3.133862988,-0.076356809
0.143001091,3.133657043,-0.078507627
0.143001091,3.133448044,-0.08067178
0.143001091,3.133235957,-0.082849249
0.143001091,3.133020752,-0.085040013
0.143001091,3.132802397,-0.087244051
0.143001091,3.132580859,-0.089461344
